Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,255500,1,5500,2.2,254000,259000,252500,14031862,3586126499750,1493724184344000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,1647000,1,51000,3.2,1620000,1683000,1620000,2827892,4660912821500,1203120925155000,730492365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1041000,1,60000,6.12,990000,1049000,983000,455382,464723335600,137332881918000,131923998,STK
009150,KR7009150004,삼성전기,KOSPI,,1401000,1,53000,3.93,1367000,1418000,1351000,622762,867415258500,104645868096000,74693696,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,358500,2,-7000,-1.92,366000,373500,357500,288467,104653592250,83889000000000,234000000,STK
005380,KR7005380001,현대차,KOSPI,,383500,3,0,0.0,389000,393500,381000,358567,137972816750,78524603261000,204757766,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1447000,2,-30000,-2.03,1484000,1487000,1433000,45399,65855449500,66983006097000,46290951,STK
105560,KR7105560007,KB금융,KOSPI,,172000,2,-5900,-3.32,178000,178300,170800,1344239,232543894644,61006290248000,354687734,STK
028260,KR7028260008,삼성물산,KOSPI,,367000,2,-5000,-1.34,371500,372000,352500,395781,143670487250,59515502227000,162167581,STK
032830,KR7032830002,삼성생명,KOSPI,,297500,2,-5500,-1.82,305000,305000,294500,292663,87219853000,59500000000000,200000000,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1055000,1,8000,0.76,1057000,1067000,1036000,62321,65429784500,54399388055000,51563401,STK
055550,KR7055550008,신한지주,KOSPI,,110300,2,-4200,-3.67,113600,114600,109800,1115969,124404868750,51780361361700,469450239,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,79200,3,0,0.0,80500,80800,78600,1477682,117317996250,50732442763200,640561146,STK
000270,KR7000270009,기아,KOSPI,,126500,2,-900,-0.71,132700,132700,125700,977137,124480272525,49387244247000,390412998,STK
329180,KR7329180004,HD현대중공업,KOSPI,,436500,1,1500,0.34,435000,443500,431000,185290,80757764000,45815574712500,104961225,STK
006400,KR7006400006,삼성SDI,KOSPI,,548000,1,9000,1.67,549000,557000,539000,259044,142089869000,44160870440000,80585530,STK
068270,KR7068270008,셀트리온,KOSPI,,188100,1,1000,0.53,189000,189100,186600,270580,50813720450,43755290805600,232617176,STK
034730,KR7034730002,SK,KOSPI,,573000,1,28000,5.14,547000,574000,545000,88794,49914992000,41544048819000,72502703,STK
012330,KR7012330007,현대모비스,KOSPI,,422000,2,-1500,-0.35,426000,431500,419500,228188,96590757500,37904286870000,89820585,STK
086790,KR7086790003,하나금융지주,KOSPI,,134300,2,-5200,-3.73,139500,141000,133700,881360,119964694600,36847588556400,274367748,STK
066570,KR7066570003,LG전자,KOSPI,,201500,1,1800,0.9,204000,206500,200500,416253,84206416000,32821254557000,162884638,STK
035420,KR7035420009,NAVER,KOSPI,,213500,1,6000,2.89,210500,215000,210000,648091,138236649250,32468330828500,152076491,STK
000810,KR7000810002,삼성화재,KOSPI,,663000,2,-39000,-5.56,686000,692000,630000,139506,92461667000,29601274599000,44647473,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,195300,1,3200,1.67,194500,197100,191700,425547,82565048300,29295000000000,150000000,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,337000,2,-5000,-1.46,342000,345000,334500,222733,75266532250,26704394599000,79241527,STK
042660,KR7042660001,한화오션,KOSPI,,86800,1,300,0.35,86800,87000,85300,386896,33435862350,26596682599200,306413394,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,714000,1,8000,1.13,715000,731000,707000,77266,55236654000,25737654390000,36047135,STK
010130,KR7010130003,고려아연,KOSPI,,1222000,2,-2000,-0.16,1251000,1254000,1206000,13834,16852873500,25506768118000,20872969,STK
298040,KR7298040007,효성중공업,KOSPI,,2732000,1,7000,0.26,2780000,2788000,2687000,37493,102124227000,25474665136000,9324548,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,348500,1,4500,1.31,343500,349000,340000,106579,36899184750,24664430926000,70773116,STK
316140,KR7316140003,우리금융지주,KOSPI,,33200,2,-1450,-4.18,34550,35300,32950,3083152,103792593875,24461313692400,736786557,STK
096770,KR7096770003,SK이노베이션,KOSPI,,138300,1,7500,5.73,130700,139600,130700,1280862,176360451550,23380000580400,169052788,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,135500,2,-1400,-1.02,137000,138800,133000,213109,28892006650,22675555491500,167347273,STK
042700,KR7042700005,한미반도체,KOSPI,,230000,1,19500,9.26,213500,230000,212500,963556,217909372500,21921806000000,95312200,STK
015760,KR7015760002,한국전력,KOSPI,,32150,2,-300,-0.92,32650,32700,31950,860534,27758353750,20639145075550,641964077,STK
051910,KR7051910008,LG화학,KOSPI,,282000,2,-5000,-1.74,284500,288500,277000,181645,51093224250,19907040726000,70592343,STK
017670,KR7017670001,SK텔레콤,KOSPI,,92500,1,3500,3.93,90700,93500,90500,911127,83894875450,19868079902500,214790053,STK
011200,KR7011200003,HMM,KOSPI,,21050,2,-300,-1.41,21300,21550,20850,876481,18511901550,19855159268500,943237970,STK
267250,KR7267250009,HD현대,KOSPI,,240500,1,27000,12.65,214000,242000,213000,272287,64246430250,18997836942500,78993085,STK
010140,KR7010140002,삼성중공업,KOSPI,,21400,2,-250,-1.15,21500,21500,20700,3410970,71941017800,18832000000000,880000000,STK
006800,KR7006800007,미래에셋증권,KOSPI,,34450,1,1250,3.77,33350,34800,33350,1066118,36546092175,18707075206950,543021051,STK
000150,KR7000150003,두산,KOSPI,,1142000,1,17000,1.51,1139000,1155000,1117000,30158,34251980500,18493359570000,16193835,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,238000,1,12000,5.31,229500,239500,228500,214444,50517313250,18415916400000,77377800,STK
003550,KR7003550001,LG,KOSPI,,121100,1,2800,2.37,119900,121700,118100,355436,42875212550,18309351684400,151192004,STK
033780,KR7033780008,KT&G,KOSPI,,172500,2,-2200,-1.26,174700,174800,171700,161014,27834948650,17907303660000,103810456,STK
010950,KR7010950004,S-Oil,KOSPI,,157300,1,9400,6.36,153000,164700,152500,918696,147265732700,17709273181600,112582792,STK
024110,KR7024110009,기업은행,KOSPI,,20700,2,-450,-2.13,21150,21200,20600,1110330,23078676575,16506715488300,797425869,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,183600,2,-200,-0.11,186000,190100,182200,248865,46132015550,16330525992000,88946220,STK
035720,KR7035720002,카카오,KOSPI,,36200,1,850,2.4,35700,36300,35600,1535335,55006325675,16036596488600,442999903,STK
086280,KR7086280005,현대글로비스,KOSPI,,206000,1,4000,1.98,202500,209500,202000,127523,26215930500,15450000000000,75000000,STK
278470,KR7278470000,에이피알,KOSPI,,394000,2,-12000,-2.96,407500,412000,392500,223630,88944499000,14750633070000,37438155,STK
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,652000,2,-13000,-1.95,670000,673000,650000,59051,38688275744,14344000000000,22000000,STK
064350,KR7064350002,현대로템,KOSPI,,126800,1,400,0.32,127000,128800,125400,162383,20564869200,13839242752400,109142293,STK
030200,KR7030200000,KT,KOSPI,,54300,1,500,0.93,54100,54300,53400,175651,9470413300,13684777495500,252021685,STK
000720,KR7000720003,현대건설,KOSPI,,119700,1,200,0.17,119300,120200,116800,433776,51580561200,13329285070500,111355765,STK
011070,KR7011070000,LG이노텍,KOSPI,,562000,1,6000,1.08,554000,566000,551000,179412,100176904500,13300914134000,23667107,STK
272210,KR7272210006,한화시스템,KOSPI,,68800,1,800,1.18,68600,69600,68000,153912,10569898050,12997653963200,188919389,STK
005830,KR7005830005,DB손해보험,KOSPI,,195700,2,-7300,-3.6,201500,202500,193800,219058,43093960200,12818418299300,65500349,STK
047810,KR7047810007,한국항공우주,KOSPI,,126500,1,1500,1.2,125900,128300,125100,140114,17688513100,12330601035500,97475107,STK
078930,KR7078930005,GS,KOSPI,,123900,1,5000,4.21,121600,128700,121600,506916,63479541000,11509751830500,92895495,STK
003490,KR7003490000,대한항공,KOSPI,,30200,1,1050,3.6,29500,30500,29300,4829883,145479859350,11120263962200,368220661,STK
307950,KR7307950006,현대오토에버,KOSPI,,395000,1,10500,2.73,391000,406000,391000,56867,22599463250,10832472890000,27423982,STK
003230,KR7003230000,삼양식품,KOSPI,,1417000,2,-7000,-0.49,1420000,1423000,1384000,39339,55273754000,10674282255000,7533015,STK
071050,KR7071050009,한국금융지주,KOSPI,,188800,1,2200,1.18,188500,192800,187000,189638,35908676650,10521067289600,55725992,STK
323410,KR7323410001,카카오뱅크,KOSPI,,21950,1,150,0.69,21850,22150,21650,552348,12117442900,10472793592150,477120437,STK
